Date;Filière;Valeur (Mt);Nature
2014-01;"Gaz";0,80020812268316;Données Consolidées
2014-02;"Gaz";0,70664283377626;Données Consolidées
2014-03;"Gaz";0,69222962946297;Données Consolidées
2014-04;"Gaz";0,21156862058381;Données Consolidées
2014-05;"Gaz";0,20057569438329;Données Consolidées
2014-06;"Gaz";0,18002824115477;Données Consolidées
2014-07;"Gaz";0,17715172745504;Données Consolidées
2014-08;"Gaz";0,18649532595687;Données Consolidées
2014-09;"Gaz";0,2160632776904;Données Consolidées
2014-10;"Gaz";0,38439832913376;Données Consolidées
2014-11;"Gaz";0,91415300542547;Données Consolidées
2014-12;"Gaz";1,117229649473;Données Consolidées
2015-01;"Gaz";1,2125289763292;Données Consolidées
2015-02;"Gaz";1,3188556358913;Données Consolidées
2015-03;"Gaz";1,0724346018979;Données Consolidées
2015-04;"Gaz";0,3777721714854;Données Consolidées
2015-05;"Gaz";0,20286603596955;Données Consolidées
2015-06;"Gaz";0,18926124560054;Données Consolidées
2015-07;"Gaz";0,33602466447419;Données Consolidées
2015-08;"Gaz";0,18378025057646;Données Consolidées
2015-09;"Gaz";0,41904046959348;Données Consolidées
2015-10;"Gaz";0,87194755897847;Données Consolidées
2015-11;"Gaz";1,3505465934306;Données Consolidées
2015-12;"Gaz";1,2115591786011;Données Consolidées
2016-01;"Gaz";1,4704403642633;Données Consolidées
2016-02;"Gaz";1,2017671312632;Données Consolidées
2016-03;"Gaz";1,326144219288;Données Consolidées
2016-04;"Gaz";0,66950250783057;Données Consolidées
2016-05;"Gaz";0,42027013468682;Données Consolidées
2016-06;"Gaz";0,4527198358606;Données Consolidées
2016-07;"Gaz";0,57992246658772;Données Consolidées
2016-08;"Gaz";0,63023270902113;Données Consolidées
2016-09;"Gaz";1,1064524748419;Données Consolidées
2016-10;"Gaz";1,3773730129391;Données Consolidées
2016-11;"Gaz";1,9542801188937;Données Consolidées
2016-12;"Gaz";2,2236882456266;Données Consolidées
2017-01;"Gaz";2,2777980296989;Données Consolidées
2017-02;"Gaz";1,865977813078;Données Consolidées
2017-03;"Gaz";1,7084302945487;Données Consolidées
2017-04;"Gaz";0,92433395217932;Données Consolidées
2017-05;"Gaz";0,62361931222448;Données Consolidées
2017-06;"Gaz";0,52664730015607;Données Consolidées
2017-07;"Gaz";0,77357885422326;Données Consolidées
2017-08;"Gaz";0,56843115577055;Données Consolidées
2017-09;"Gaz";0,77749678742191;Données Consolidées
2017-10;"Gaz";1,4037193173718;Données Consolidées
2017-11;"Gaz";2,0448943116566;Données Consolidées
2017-12;"Gaz";1,9217177951233;Données Consolidées
2018-01;"Gaz";1,2445848930421;Données Consolidées
2018-02;"Gaz";1,8501385230399;Données Consolidées
2018-03;"Gaz";1,5248697087962;Données Consolidées
2018-04;"Gaz";0,3280768360013;Données Consolidées
2018-05;"Gaz";0,24018495791082;Données Consolidées
2018-06;"Gaz";0,26795771967009;Données Consolidées
2018-07;"Gaz";0,67474805761314;Données Consolidées
2018-08;"Gaz";0,66631738533245;Données Consolidées
2018-09;"Gaz";0,59170520682318;Données Consolidées
2018-10;"Gaz";1,0045748181353;Données Consolidées
2018-11;"Gaz";1,8918444884154;Données Consolidées
2018-12;"Gaz";1,6065203383836;Données Consolidées
2019-01;"Gaz";2,2101721163794;Données Consolidées
2019-02;"Gaz";1,7291734360976;Données Consolidées
2019-03;"Gaz";1,2674005154451;Données Consolidées
2019-04;"Gaz";0,73740310610663;Données Consolidées
2019-05;"Gaz";0,67692265348798;Données Consolidées
2019-06;"Gaz";0,59714420412832;Données Consolidées
2019-07;"Gaz";0,95905617195975;Données Consolidées
2019-08;"Gaz";0,7264521148177;Données Consolidées
2019-09;"Gaz";0,96773852120741;Données Consolidées
2019-10;"Gaz";1,1174920597369;Données Consolidées
2019-11;"Gaz";1,9230174118212;Données Consolidées
2019-12;"Gaz";1,5692385969737;Données Consolidées
2020-01;"Gaz";1,9715563414909;Données Consolidées
2020-02;"Gaz";1,4138785400835;Données Consolidées
2020-03;"Gaz";1,3725445067263;Données Consolidées
2020-04;"Gaz";0,20178336350881;Données Consolidées
2020-05;"Gaz";0,39781598952142;Données Consolidées
2020-06;"Gaz";0,85959793163976;Données Consolidées
2020-07;"Gaz";0,90398922873932;Données Consolidées
2020-08;"Gaz";0,87843559044126;Données Consolidées
2020-09;"Gaz";0,92561382552197;Données Consolidées
2020-10;"Gaz";0,82072916867741;Données Consolidées
2020-11;"Gaz";1,5995112450688;Données Consolidées
2020-12;"Gaz";1,7008911611646;Données Consolidées
2021-01;"Gaz";1,8068525664524;Données Consolidées
2021-02;"Gaz";1,4125238702979;Données Consolidées
2021-03;"Gaz";1,4569471956348;Données Consolidées
2021-04;"Gaz";0,96247874522381;Données Consolidées
2021-05;"Gaz";0,4064594051276;Données Consolidées
2021-06;"Gaz";0,49509972934733;Données Consolidées
2021-07;"Gaz";0,50144677961311;Données Consolidées
2021-08;"Gaz";0,27099852584147;Données Consolidées
2021-09;"Gaz";0,5538705373684;Données Consolidées
2021-10;"Gaz";0,6545307827792;Données Consolidées
2021-11;"Gaz";1,8629370255638;Données Consolidées
2021-12;"Gaz";1,9256321617259;Données Consolidées
2022-01;"Gaz";1,9655040343898;Données Consolidées
2022-02;"Gaz";1,4490536543039;Données Consolidées
2022-03;"Gaz";1,6856660615214;Données Consolidées
2022-04;"Gaz";1,1510797034281;Données Consolidées
2022-05;"Gaz";0,96786865926388;Données Consolidées
2022-06;"Gaz";0,81208059682533;Données Consolidées
2022-07;"Gaz";1,0383710016374;Données Consolidées
2022-08;"Gaz";0,98537873204658;Données Consolidées
2022-09;"Gaz";1,1112639996674;Données Consolidées
2022-10;"Gaz";1,3070872899401;Données Consolidées
2022-11;"Gaz";1,6021225079884;Données Consolidées
2022-12;"Gaz";1,8682408203406;Données Consolidées
2023-01;"Gaz";1,5850644072642;Données Consolidées
2023-02;"Gaz";1,8180098581018;Données Consolidées
2023-03;"Gaz";1,3591274117591;Données Consolidées
2023-04;"Gaz";0,67624727924225;Données Consolidées
2023-05;"Gaz";0,43361216911564;Données Consolidées
2023-06;"Gaz";0,60874346877691;Données Consolidées
2023-07;"Gaz";0,61657672036236;Données Consolidées
2023-08;"Gaz";0,55839129455737;Données Consolidées
2023-09;"Gaz";0,45222214528781;Données Consolidées
2023-10;"Gaz";0,44363939870845;Données Consolidées
2023-11;"Gaz";1,0339616165841;Données Consolidées
2023-12;"Gaz";1,2151440841418;Données Consolidées
2024-01;"Gaz";1,4632868415009;Données Consolidées
2024-02;"Gaz";0,97752974620701;Données Consolidées
2024-03;"Gaz";0,91624883144898;Données Consolidées
2024-04;"Gaz";0,21489128973904;Données Consolidées
2024-05;"Gaz";0,13399294531579;Données Consolidées
2024-06;"Gaz";0,14396738072458;Données Consolidées
2024-07;"Gaz";0,20301598489363;Données Consolidées
2024-08;"Gaz";0,22105275608283;Données Consolidées
2024-09;"Gaz";0,24401181330827;Données Consolidées
2024-10;"Gaz";0,23879386197342;Données Consolidées
2024-11;"Gaz";0,98890985252863;Données Consolidées
2024-12;"Gaz";0,98507826859295;Données Consolidées
2025-01;"Gaz";1,1460901411494;Données Consolidées
2025-02;"Gaz";1,0950042187862;Données Consolidées
2025-03;"Gaz";0,79321427464145;Données Consolidées
2025-04;"Gaz";0,22074803625;Données provisoires
2014-01;"Fioul";0,12176141178542;Données Consolidées
2014-02;"Fioul";0,13289249321274;Données Consolidées
2014-03;"Fioul";0,13894800364752;Données Consolidées
2014-04;"Fioul";0,11054838776056;Données Consolidées
2014-05;"Fioul";0,10625798263758;Données Consolidées
2014-06;"Fioul";0,1156491253793;Données Consolidées
2014-07;"Fioul";0,14427832153459;Données Consolidées
2014-08;"Fioul";0,14804676148104;Données Consolidées
2014-09;"Fioul";0,14623614546577;Données Consolidées
2014-10;"Fioul";0,17542939702597;Données Consolidées
2014-11;"Fioul";0,16607150153247;Données Consolidées
2014-12;"Fioul";0,14525044379501;Données Consolidées
2015-01;"Fioul";0,18855675820042;Données Consolidées
2015-02;"Fioul";0,17520366772431;Données Consolidées
2015-03;"Fioul";0,13201463418717;Données Consolidées
2015-04;"Fioul";0,10933399180406;Données Consolidées
2015-05;"Fioul";0,11559424264368;Données Consolidées
2015-06;"Fioul";0,13349012430192;Données Consolidées
2015-07;"Fioul";0,16633689440533;Données Consolidées
2015-08;"Fioul";0,14681390022502;Données Consolidées
2015-09;"Fioul";0,13755993509382;Données Consolidées
2015-10;"Fioul";0,15820293657341;Données Consolidées
2015-11;"Fioul";0,22914658136006;Données Consolidées
2015-12;"Fioul";0,18202499569489;Données Consolidées
2016-01;"Fioul";0,20935219441586;Données Consolidées
2016-02;"Fioul";0,1504917405449;Données Consolidées
2016-03;"Fioul";0,14327096590889;Données Consolidées
2016-04;"Fioul";0,14192603333667;Données Consolidées
2016-05;"Fioul";0,14524386439327;Données Consolidées
2016-06;"Fioul";0,14956260716933;Données Consolidées
2016-07;"Fioul";0,1626150999718;Données Consolidées
2016-08;"Fioul";0,16028886532392;Données Consolidées
2016-09;"Fioul";0,14135856735294;Données Consolidées
2016-10;"Fioul";0,15212115412721;Données Consolidées
2016-11;"Fioul";0,21587271875692;Données Consolidées
2016-12;"Fioul";0,16601841293306;Données Consolidées
2017-01;"Fioul";0,4995498266075;Données Consolidées
2017-02;"Fioul";0,15420098799442;Données Consolidées
2017-03;"Fioul";0,17264910302755;Données Consolidées
2017-04;"Fioul";0,12540739437317;Données Consolidées
2017-05;"Fioul";0,13428233884931;Données Consolidées
2017-06;"Fioul";0,16501583204066;Données Consolidées
2017-07;"Fioul";0,16574993164008;Données Consolidées
2017-08;"Fioul";0,17013025341458;Données Consolidées
2017-09;"Fioul";0,14925479229689;Données Consolidées
2017-10;"Fioul";0,15231590701843;Données Consolidées
2017-11;"Fioul";0,18293917640453;Données Consolidées
2017-12;"Fioul";0,18320012954356;Données Consolidées
2018-01;"Fioul";0,10293076180876;Données Consolidées
2018-02;"Fioul";0,18092915679137;Données Consolidées
2018-03;"Fioul";0,13172125912918;Données Consolidées
2018-04;"Fioul";0,075857008623618;Données Consolidées
2018-05;"Fioul";0,07163446753378;Données Consolidées
2018-06;"Fioul";0,08951267509276;Données Consolidées
2018-07;"Fioul";0,12753965802673;Données Consolidées
2018-08;"Fioul";0,13954310347169;Données Consolidées
2018-09;"Fioul";0,11200334883664;Données Consolidées
2018-10;"Fioul";0,10381586378848;Données Consolidées
2018-11;"Fioul";0,10710665099529;Données Consolidées
2018-12;"Fioul";0,12478390698321;Données Consolidées
2019-01;"Fioul";0,1886269079684;Données Consolidées
2019-02;"Fioul";0,12223045230027;Données Consolidées
2019-03;"Fioul";0,13340984798511;Données Consolidées
2019-04;"Fioul";0,14693423737843;Données Consolidées
2019-05;"Fioul";0,090936895986735;Données Consolidées
2019-06;"Fioul";0,096152827661504;Données Consolidées
2019-07;"Fioul";0,13714286166648;Données Consolidées
2019-08;"Fioul";0,13536002446122;Données Consolidées
2019-09;"Fioul";0,11163664517383;Données Consolidées
2019-10;"Fioul";0,10047571206547;Données Consolidées
2019-11;"Fioul";0,10364917152655;Données Consolidées
2019-12;"Fioul";0,10340966948103;Données Consolidées
2020-01;"Fioul";0,11219493141308;Données Consolidées
2020-02;"Fioul";0,10878663277028;Données Consolidées
2020-03;"Fioul";0,088587496048995;Données Consolidées
2020-04;"Fioul";0,071895442981497;Données Consolidées
2020-05;"Fioul";0,070326423876175;Données Consolidées
2020-06;"Fioul";0,092570655391831;Données Consolidées
2020-07;"Fioul";0,13422254442763;Données Consolidées
2020-08;"Fioul";0,12904458442564;Données Consolidées
2020-09;"Fioul";0,11910896342256;Données Consolidées
2020-10;"Fioul";0,081405308634118;Données Consolidées
2020-11;"Fioul";0,10011747612081;Données Consolidées
2020-12;"Fioul";0,11394017325571;Données Consolidées
2021-01;"Fioul";0,12427862728107;Données Consolidées
2021-02;"Fioul";0,1028257052721;Données Consolidées
2021-03;"Fioul";0,1001792264763;Données Consolidées
2021-04;"Fioul";0,10169884909271;Données Consolidées
2021-05;"Fioul";0,082709310005542;Données Consolidées
2021-06;"Fioul";0,10213882361766;Données Consolidées
2021-07;"Fioul";0,11884638870939;Données Consolidées
2021-08;"Fioul";0,12884075653158;Données Consolidées
2021-09;"Fioul";0,11279389831524;Données Consolidées
2021-10;"Fioul";0,12673281525835;Données Consolidées
2021-11;"Fioul";0,17850596748863;Données Consolidées
2021-12;"Fioul";0,16026449520946;Données Consolidées
2022-01;"Fioul";0,18281398192799;Données Consolidées
2022-02;"Fioul";0,13946177750527;Données Consolidées
2022-03;"Fioul";0,18540735920134;Données Consolidées
2022-04;"Fioul";0,11564560615616;Données Consolidées
2022-05;"Fioul";0,090770109479241;Données Consolidées
2022-06;"Fioul";0,14624768831573;Données Consolidées
2022-07;"Fioul";0,20070367367684;Données Consolidées
2022-08;"Fioul";0,15080027773366;Données Consolidées
2022-09;"Fioul";0,13248735284132;Données Consolidées
2022-10;"Fioul";0,094833093642829;Données Consolidées
2022-11;"Fioul";0,091654987115518;Données Consolidées
2022-12;"Fioul";0,1543080697218;Données Consolidées
2023-01;"Fioul";0,12101127415116;Données Consolidées
2023-02;"Fioul";0,10364167308368;Données Consolidées
2023-03;"Fioul";0,13792344616162;Données Consolidées
2023-04;"Fioul";0,077786396920355;Données Consolidées
2023-05;"Fioul";0,071518925957424;Données Consolidées
2023-06;"Fioul";0,085761585263562;Données Consolidées
2023-07;"Fioul";0,14037453241355;Données Consolidées
2023-08;"Fioul";0,14977598879563;Données Consolidées
2023-09;"Fioul";0,11161679420706;Données Consolidées
2023-10;"Fioul";0,094200802476333;Données Consolidées
2023-11;"Fioul";0,086108501778145;Données Consolidées
2023-12;"Fioul";0,11483225750628;Données Consolidées
2024-01;"Fioul";0,11804929098739;Données Consolidées
2024-02;"Fioul";0,094125829467293;Données Consolidées
2024-03;"Fioul";0,11316737998865;Données Consolidées
2024-04;"Fioul";0,095433689902958;Données Consolidées
2024-05;"Fioul";0,087739532002241;Données Consolidées
2024-06;"Fioul";0,11938964114706;Données Consolidées
2024-07;"Fioul";0,1733173563314;Données Consolidées
2024-08;"Fioul";0,14756805328736;Données Consolidées
2024-09;"Fioul";0,10632966889064;Données Consolidées
2024-10;"Fioul";0,10510731103496;Données Consolidées
2024-11;"Fioul";0,10711964732137;Données Consolidées
2024-12;"Fioul";0,13265741715518;Données Consolidées
2025-01;"Fioul";0,12911044617272;Données Consolidées
2025-02;"Fioul";0,08590731747847;Données Consolidées
2025-03;"Fioul";0,10915685373681;Données Consolidées
2025-04;"Fioul";0,0787359875;Données provisoires
2014-01;"Déchets ménagers";0,17032330736101;Données Consolidées
2014-02;"Déchets ménagers";0,156163628105;Données Consolidées
2014-03;"Déchets ménagers";0,173669817161;Données Consolidées
2014-04;"Déchets ménagers";0,13136581379951;Données Consolidées
2014-05;"Déchets ménagers";0,15492782041599;Données Consolidées
2014-06;"Déchets ménagers";0,13104294198798;Données Consolidées
2014-07;"Déchets ménagers";0,153782401387;Données Consolidées
2014-08;"Déchets ménagers";0,14957328789;Données Consolidées
2014-09;"Déchets ménagers";0,13128247249606;Données Consolidées
2014-10;"Déchets ménagers";0,12661934077741;Données Consolidées
2014-11;"Déchets ménagers";0,16393900643255;Données Consolidées
2014-12;"Déchets ménagers";0,17124709195867;Données Consolidées
2015-01;"Déchets ménagers";0,172939268554;Données Consolidées
2015-02;"Déchets ménagers";0,15631835187049;Données Consolidées
2015-03;"Déchets ménagers";0,17440404557251;Données Consolidées
2015-04;"Déchets ménagers";0,13358986849049;Données Consolidées
2015-05;"Déchets ménagers";0,147493888091;Données Consolidées
2015-06;"Déchets ménagers";0,13750020189451;Données Consolidées
2015-07;"Déchets ménagers";0,149927347241;Données Consolidées
2015-08;"Déchets ménagers";0,15516046592899;Données Consolidées
2015-09;"Déchets ménagers";0,14195145197535;Données Consolidées
2015-10;"Déchets ménagers";0,14202091734589;Données Consolidées
2015-11;"Déchets ménagers";0,1740736620622;Données Consolidées
2015-12;"Déchets ménagers";0,17993892233912;Données Consolidées
2016-01;"Déchets ménagers";0,18477707391897;Données Consolidées
2016-02;"Déchets ménagers";0,16990121994531;Données Consolidées
2016-03;"Déchets ménagers";0,18160156420042;Données Consolidées
2016-04;"Déchets ménagers";0,15091028345052;Données Consolidées
2016-05;"Déchets ménagers";0,15662967518466;Données Consolidées
2016-06;"Déchets ménagers";0,13973728099331;Données Consolidées
2016-07;"Déchets ménagers";0,17912336978918;Données Consolidées
2016-08;"Déchets ménagers";0,17138520499984;Données Consolidées
2016-09;"Déchets ménagers";0,15934007490006;Données Consolidées
2016-10;"Déchets ménagers";0,15896542920562;Données Consolidées
2016-11;"Déchets ménagers";0,18766002696444;Données Consolidées
2016-12;"Déchets ménagers";0,20109682216868;Données Consolidées
2017-01;"Déchets ménagers";0,19108934334251;Données Consolidées
2017-02;"Déchets ménagers";0,1720270422838;Données Consolidées
2017-03;"Déchets ménagers";0,18366025781306;Données Consolidées
2017-04;"Déchets ménagers";0,15769951383298;Données Consolidées
2017-05;"Déchets ménagers";0,16333328279778;Données Consolidées
2017-06;"Déchets ménagers";0,16571445614599;Données Consolidées
2017-07;"Déchets ménagers";0,19165990722135;Données Consolidées
2017-08;"Déchets ménagers";0,17827196990694;Données Consolidées
2017-09;"Déchets ménagers";0,16759296516547;Données Consolidées
2017-10;"Déchets ménagers";0,1581251167236;Données Consolidées
2017-11;"Déchets ménagers";0,19345927469073;Données Consolidées
2017-12;"Déchets ménagers";0,20020488761736;Données Consolidées
2018-01;"Déchets ménagers";0,18562248670597;Données Consolidées
2018-02;"Déchets ménagers";0,1653524502942;Données Consolidées
2018-03;"Déchets ménagers";0,17501423869501;Données Consolidées
2018-04;"Déchets ménagers";0,15375396114455;Données Consolidées
2018-05;"Déchets ménagers";0,179505981449;Données Consolidées
2018-06;"Déchets ménagers";0,159400566193;Données Consolidées
2018-07;"Déchets ménagers";0,18530673040968;Données Consolidées
2018-08;"Déchets ménagers";0,17965952632547;Données Consolidées
2018-09;"Déchets ménagers";0,15921584175713;Données Consolidées
2018-10;"Déchets ménagers";0,15156513455044;Données Consolidées
2018-11;"Déchets ménagers";0,17500752831708;Données Consolidées
2018-12;"Déchets ménagers";0,18655998950826;Données Consolidées
2019-01;"Déchets ménagers";0,18455993755969;Données Consolidées
2019-02;"Déchets ménagers";0,16732495666741;Données Consolidées
2019-03;"Déchets ménagers";0,18494416514883;Données Consolidées
2019-04;"Déchets ménagers";0,14357443391411;Données Consolidées
2019-05;"Déchets ménagers";0,1719268270227;Données Consolidées
2019-06;"Déchets ménagers";0,15957449717248;Données Consolidées
2019-07;"Déchets ménagers";0,17289800164452;Données Consolidées
2019-08;"Déchets ménagers";0,18189797104281;Données Consolidées
2019-09;"Déchets ménagers";0,1514925792262;Données Consolidées
2019-10;"Déchets ménagers";0,15291091674126;Données Consolidées
2019-11;"Déchets ménagers";0,16932370579621;Données Consolidées
2019-12;"Déchets ménagers";0,17235961692963;Données Consolidées
2020-01;"Déchets ménagers";0,17240494647535;Données Consolidées
2020-02;"Déchets ménagers";0,15958890807132;Données Consolidées
2020-03;"Déchets ménagers";0,17986983915464;Données Consolidées
2020-04;"Déchets ménagers";0,16050532695954;Données Consolidées
2020-05;"Déchets ménagers";0,16756272964748;Données Consolidées
2020-06;"Déchets ménagers";0,16402660846871;Données Consolidées
2020-07;"Déchets ménagers";0,17271743686353;Données Consolidées
2020-08;"Déchets ménagers";0,17286692604841;Données Consolidées
2020-09;"Déchets ménagers";0,15979612656995;Données Consolidées
2020-10;"Déchets ménagers";0,13985164354842;Données Consolidées
2020-11;"Déchets ménagers";0,15938127108849;Données Consolidées
2020-12;"Déchets ménagers";0,16730199338666;Données Consolidées
2021-01;"Déchets ménagers";0,17108700274409;Données Consolidées
2021-02;"Déchets ménagers";0,15582278587369;Données Consolidées
